"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010M","B02001_010MA","B02001_010EA",
"1500000US360050016001","Block Group 1, Census Tract 16, Bronx County, New York","3066","545","null","null","651","215","null","null","1590","455","null","null","192","224","null","null","13","20","null","null","0","12","null","null","411","null","242","null","209","137","null","null","159","126","null","null","50","49","null","null",
"1500000US360050016002","Block Group 2, Census Tract 16, Bronx County, New York","644","239","null","null","304","156","null","null","74","75","null","null","0","12","null","null","57","101","null","null","0","12","null","null","209","null","123","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050016003","Block Group 3, Census Tract 16, Bronx County, New York","1308","428","null","null","187","127","null","null","452","248","null","null","0","12","null","null","0","12","null","null","0","12","null","null","571","null","378","null","98","83","null","null","73","72","null","null","25","39","null","null",
"1500000US360050016004","Block Group 4, Census Tract 16, Bronx County, New York","899","335","null","null","192","101","null","null","237","180","null","null","0","12","null","null","6","12","null","null","0","12","null","null","345","null","212","null","119","182","null","null","119","182","null","null","0","12","null","null",
"1500000US360050019011","Block Group 1, Census Tract 19.01, Bronx County, New York","1910","301","null","null","624","229","null","null","778","247","null","null","0","12","null","null","0","12","null","null","0","12","null","null","434","null","233","null","74","62","null","null","62","63","null","null","12","16","null","null",
"1500000US360050019021","Block Group 1, Census Tract 19.02, Bronx County, New York","1334","305","null","null","239","116","null","null","440","103","null","null","35","53","null","null","59","64","null","null","0","12","null","null","467","null","304","null","94","78","null","null","30","37","null","null","64","70","null","null",
"1500000US360050019031","Block Group 1, Census Tract 19.03, Bronx County, New York","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050019032","Block Group 2, Census Tract 19.03, Bronx County, New York","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050019040","Block Group 0, Census Tract 19.04, Bronx County, New York","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050019041","Block Group 1, Census Tract 19.04, Bronx County, New York","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050019042","Block Group 2, Census Tract 19.04, Bronx County, New York","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050020011","Block Group 1, Census Tract 20.01, Bronx County, New York","2830","896","null","null","831","696","null","null","1323","640","null","null","0","12","null","null","0","12","null","null","0","12","null","null","676","null","540","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050020012","Block Group 2, Census Tract 20.01, Bronx County, New York","1198","528","null","null","64","57","null","null","882","437","null","null","0","12","null","null","0","12","null","null","0","12","null","null","146","null","163","null","106","135","null","null","33","60","null","null","73","116","null","null",
"1500000US360050020013","Block Group 3, Census Tract 20.01, Bronx County, New York","809","510","null","null","227","422","null","null","433","314","null","null","0","12","null","null","0","12","null","null","0","12","null","null","58","null","80","null","91","143","null","null","0","12","null","null","91","143","null","null",
"1500000US360050020021","Block Group 1, Census Tract 20.02, Bronx County, New York","815","542","null","null","176","192","null","null","569","583","null","null","0","12","null","null","0","12","null","null","0","12","null","null","70","null","83","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050020022","Block Group 2, Census Tract 20.02, Bronx County, New York","2426","992","null","null","598","621","null","null","285","394","null","null","82","196","null","null","0","12","null","null","0","12","null","null","1010","null","475","null","451","637","null","null","51","122","null","null","400","627","null","null",
"1500000US360050020023","Block Group 3, Census Tract 20.02, Bronx County, New York","1527","814","null","null","217","327","null","null","947","604","null","null","26","45","null","null","0","12","null","null","0","12","null","null","337","null","445","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050023001","Block Group 1, Census Tract 23, Bronx County, New York","2121","483","null","null","206","117","null","null","740","262","null","null","8","13","null","null","0","12","null","null","0","12","null","null","1150","null","491","null","17","18","null","null","8","12","null","null","9","14","null","null",
"1500000US360050023002","Block Group 2, Census Tract 23, Bronx County, New York","939","330","null","null","371","281","null","null","282","267","null","null","0","12","null","null","0","12","null","null","0","12","null","null","255","null","225","null","31","36","null","null","23","35","null","null","8","13","null","null",
"1500000US360050023003","Block Group 3, Census Tract 23, Bronx County, New York","1457","375","null","null","144","116","null","null","586","234","null","null","4","6","null","null","0","12","null","null","0","12","null","null","567","null","290","null","156","234","null","null","156","234","null","null","0","12","null","null",
"1500000US360050024000","Block Group 0, Census Tract 24, Bronx County, New York","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050024001","Block Group 1, Census Tract 24, Bronx County, New York","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050025001","Block Group 1, Census Tract 25, Bronx County, New York","929","401","null","null","52","68","null","null","51","50","null","null","0","12","null","null","6","9","null","null","0","12","null","null","796","null","406","null","24","24","null","null","15","20","null","null","9","14","null","null",
"1500000US360050025002","Block Group 2, Census Tract 25, Bronx County, New York","1185","346","null","null","292","213","null","null","633","289","null","null","0","12","null","null","0","12","null","null","0","12","null","null","225","null","219","null","35","53","null","null","35","53","null","null","0","12","null","null",
"1500000US360050025003","Block Group 3, Census Tract 25, Bronx County, New York","1411","447","null","null","115","65","null","null","354","153","null","null","13","22","null","null","0","12","null","null","0","12","null","null","790","null","427","null","139","134","null","null","62","45","null","null","77","126","null","null",
"1500000US360050025004","Block Group 4, Census Tract 25, Bronx County, New York","1375","561","null","null","348","269","null","null","339","294","null","null","0","12","null","null","0","12","null","null","0","12","null","null","688","null","433","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050025005","Block Group 5, Census Tract 25, Bronx County, New York","794","324","null","null","244","171","null","null","289","209","null","null","0","12","null","null","0","12","null","null","44","65","null","null","77","null","75","null","140","185","null","null","104","130","null","null","36","56","null","null",
"1500000US360050027011","Block Group 1, Census Tract 27.01, Bronx County, New York","1182","329","null","null","123","88","null","null","463","248","null","null","0","12","null","null","0","12","null","null","0","12","null","null","513","null","262","null","83","68","null","null","65","62","null","null","18","28","null","null",
"1500000US360050027012","Block Group 2, Census Tract 27.01, Bronx County, New York","1490","555","null","null","204","140","null","null","410","221","null","null","0","12","null","null","0","12","null","null","0","12","null","null","876","null","555","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050027021","Block Group 1, Census Tract 27.02, Bronx County, New York","1095","488","null","null","115","89","null","null","492","436","null","null","0","12","null","null","0","12","null","null","0","12","null","null","423","null","248","null","65","64","null","null","38","45","null","null","27","51","null","null",
"1500000US360050027022","Block Group 2, Census Tract 27.02, Bronx County, New York","867","327","null","null","100","147","null","null","529","224","null","null","0","12","null","null","0","12","null","null","0","12","null","null","220","null","157","null","18","19","null","null","18","19","null","null","0","12","null","null",
"1500000US360050027023","Block Group 3, Census Tract 27.02, Bronx County, New York","1302","388","null","null","51","57","null","null","809","378","null","null","18","27","null","null","0","12","null","null","0","12","null","null","352","null","222","null","72","89","null","null","56","83","null","null","16","36","null","null",
"1500000US360050027024","Block Group 4, Census Tract 27.02, Bronx County, New York","1240","429","null","null","209","160","null","null","259","159","null","null","0","12","null","null","0","12","null","null","0","12","null","null","660","null","393","null","112","172","null","null","112","172","null","null","0","12","null","null",
"1500000US360050028001","Block Group 1, Census Tract 28, Bronx County, New York","1215","609","null","null","441","343","null","null","467","324","null","null","0","12","null","null","0","12","null","null","0","12","null","null","117","null","135","null","190","217","null","null","0","12","null","null","190","217","null","null",
"1500000US360050028002","Block Group 2, Census Tract 28, Bronx County, New York","1905","449","null","null","84","82","null","null","1648","453","null","null","0","12","null","null","0","12","null","null","0","12","null","null","124","null","200","null","49","80","null","null","0","12","null","null","49","80","null","null",
"1500000US360050028003","Block Group 3, Census Tract 28, Bronx County, New York","1141","702","null","null","321","499","null","null","642","402","null","null","0","12","null","null","0","12","null","null","0","12","null","null","154","null","241","null","24","39","null","null","24","39","null","null","0","12","null","null",
"1500000US360050028004","Block Group 4, Census Tract 28, Bronx County, New York","769","274","null","null","168","144","null","null","481","261","null","null","0","12","null","null","0","12","null","null","0","12","null","null","38","null","44","null","82","121","null","null","0","12","null","null","82","121","null","null",
"1500000US360050031001","Block Group 1, Census Tract 31, Bronx County, New York","1858","435","null","null","339","156","null","null","609","254","null","null","20","28","null","null","136","129","null","null","0","12","null","null","618","null","200","null","136","88","null","null","97","75","null","null","39","45","null","null",
"1500000US360050033001","Block Group 1, Census Tract 33, Bronx County, New York","782","327","null","null","91","101","null","null","534","277","null","null","0","12","null","null","0","12","null","null","0","12","null","null","133","null","185","null","24","32","null","null","24","32","null","null","0","12","null","null",
"1500000US360050033002","Block Group 2, Census Tract 33, Bronx County, New York","1331","545","null","null","118","132","null","null","541","359","null","null","0","12","null","null","0","12","null","null","0","12","null","null","672","null","432","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050033003","Block Group 3, Census Tract 33, Bronx County, New York","1027","491","null","null","176","147","null","null","347","493","null","null","0","12","null","null","0","12","null","null","0","12","null","null","480","null","189","null","24","36","null","null","24","36","null","null","0","12","null","null",
"1500000US360050035001","Block Group 1, Census Tract 35, Bronx County, New York","534","227","null","null","109","79","null","null","128","97","null","null","0","12","null","null","0","12","null","null","0","12","null","null","209","null","186","null","88","122","null","null","88","122","null","null","0","12","null","null",
"1500000US360050035002","Block Group 2, Census Tract 35, Bronx County, New York","1449","334","null","null","281","218","null","null","814","310","null","null","10","19","null","null","0","12","null","null","0","12","null","null","253","null","165","null","91","101","null","null","55","81","null","null","36","62","null","null",
"1500000US360050035003","Block Group 3, Census Tract 35, Bronx County, New York","1755","814","null","null","171","112","null","null","685","786","null","null","82","130","null","null","0","12","null","null","0","12","null","null","712","null","293","null","105","114","null","null","54","48","null","null","51","71","null","null",
"1500000US360050037001","Block Group 1, Census Tract 37, Bronx County, New York","222","102","null","null","15","23","null","null","154","99","null","null","0","12","null","null","0","12","null","null","0","12","null","null","53","null","39","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050038001","Block Group 1, Census Tract 38, Bronx County, New York","1169","166","null","null","716","187","null","null","300","212","null","null","8","13","null","null","0","12","null","null","0","12","null","null","145","null","119","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050039001","Block Group 1, Census Tract 39, Bronx County, New York","1578","724","null","null","191","241","null","null","172","217","null","null","13","27","null","null","0","12","null","null","0","12","null","null","980","null","644","null","222","325","null","null","222","325","null","null","0","12","null","null",
"1500000US360050039002","Block Group 2, Census Tract 39, Bronx County, New York","428","289","null","null","123","142","null","null","56","50","null","null","0","12","null","null","0","12","null","null","0","12","null","null","249","null","268","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050039003","Block Group 3, Census Tract 39, Bronx County, New York","1794","933","null","null","383","257","null","null","835","724","null","null","0","12","null","null","8","12","null","null","0","12","null","null","568","null","441","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050039004","Block Group 4, Census Tract 39, Bronx County, New York","599","488","null","null","67","92","null","null","33","53","null","null","0","12","null","null","0","12","null","null","0","12","null","null","499","null","465","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050039005","Block Group 5, Census Tract 39, Bronx County, New York","2337","831","null","null","389","402","null","null","190","173","null","null","5","8","null","null","0","12","null","null","0","12","null","null","1749","null","884","null","4","6","null","null","4","6","null","null","0","12","null","null",
"1500000US360050040011","Block Group 1, Census Tract 40.01, Bronx County, New York","1425","268","null","null","291","106","null","null","158","54","null","null","46","73","null","null","258","118","null","null","0","12","null","null","628","null","263","null","44","45","null","null","23","37","null","null","21","23","null","null",
"1500000US360050041001","Block Group 1, Census Tract 41, Bronx County, New York","1023","431","null","null","158","172","null","null","285","251","null","null","160","256","null","null","0","12","null","null","0","12","null","null","237","null","159","null","183","203","null","null","169","202","null","null","14","26","null","null",
"1500000US360050041002","Block Group 2, Census Tract 41, Bronx County, New York","1941","637","null","null","748","461","null","null","407","408","null","null","0","12","null","null","35","58","null","null","0","12","null","null","634","null","381","null","117","183","null","null","6","10","null","null","111","182","null","null",
"1500000US360050041003","Block Group 3, Census Tract 41, Bronx County, New York","64","108","null","null","64","108","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050041004","Block Group 4, Census Tract 41, Bronx County, New York","2837","890","null","null","99","97","null","null","1674","625","null","null","0","12","null","null","0","12","null","null","0","12","null","null","607","null","447","null","457","670","null","null","425","667","null","null","32","78","null","null",
"1500000US360050042001","Block Group 1, Census Tract 42, Bronx County, New York","822","479","null","null","394","379","null","null","262","215","null","null","56","89","null","null","0","12","null","null","0","12","null","null","110","null","160","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050042002","Block Group 2, Census Tract 42, Bronx County, New York","1748","711","null","null","685","584","null","null","363","315","null","null","0","12","null","null","0","12","null","null","0","12","null","null","567","null","541","null","133","182","null","null","133","182","null","null","0","12","null","null",
"1500000US360050042003","Block Group 3, Census Tract 42, Bronx County, New York","2333","1039","null","null","604","477","null","null","1371","885","null","null","0","12","null","null","0","12","null","null","0","12","null","null","296","null","324","null","62","101","null","null","62","101","null","null","0","12","null","null",
"1500000US360050042004","Block Group 4, Census Tract 42, Bronx County, New York","1227","693","null","null","0","12","null","null","242","180","null","null","0","12","null","null","0","12","null","null","0","12","null","null","569","null","439","null","416","340","null","null","416","340","null","null","0","12","null","null",
"1500000US360050042005","Block Group 5, Census Tract 42, Bronx County, New York","987","728","null","null","79","132","null","null","873","715","null","null","0","12","null","null","14","24","null","null","0","12","null","null","0","null","12","null","21","35","null","null","0","12","null","null","21","35","null","null",
"1500000US360050042006","Block Group 6, Census Tract 42, Bronx County, New York","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050042007","Block Group 7, Census Tract 42, Bronx County, New York","672","381","null","null","28","46","null","null","216","184","null","null","0","12","null","null","0","12","null","null","0","12","null","null","428","null","359","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050043001","Block Group 1, Census Tract 43, Bronx County, New York","1658","512","null","null","575","352","null","null","391","273","null","null","12","19","null","null","0","12","null","null","0","12","null","null","516","null","307","null","164","164","null","null","151","164","null","null","13","20","null","null",
"1500000US360050043002","Block Group 2, Census Tract 43, Bronx County, New York","1466","354","null","null","213","124","null","null","435","202","null","null","0","12","null","null","0","12","null","null","0","12","null","null","615","null","252","null","203","207","null","null","189","216","null","null","14","22","null","null",
"1500000US360050043003","Block Group 3, Census Tract 43, Bronx County, New York","1382","544","null","null","207","131","null","null","636","338","null","null","0","12","null","null","0","12","null","null","0","12","null","null","224","null","149","null","315","348","null","null","56","86","null","null","259","269","null","null",
"1500000US360050043004","Block Group 4, Census Tract 43, Bronx County, New York","915","296","null","null","191","114","null","null","240","225","null","null","0","12","null","null","88","109","null","null","0","12","null","null","281","null","165","null","115","149","null","null","115","149","null","null","0","12","null","null",
"1500000US360050044001","Block Group 1, Census Tract 44, Bronx County, New York","860","327","null","null","147","142","null","null","517","300","null","null","0","12","null","null","19","42","null","null","0","12","null","null","158","null","149","null","19","31","null","null","0","12","null","null","19","31","null","null",
"1500000US360050044002","Block Group 2, Census Tract 44, Bronx County, New York","610","305","null","null","53","86","null","null","263","237","null","null","0","12","null","null","0","12","null","null","0","12","null","null","251","null","178","null","43","53","null","null","43","53","null","null","0","12","null","null",
"1500000US360050044003","Block Group 3, Census Tract 44, Bronx County, New York","1848","523","null","null","138","106","null","null","547","244","null","null","6","11","null","null","95","119","null","null","0","12","null","null","1036","null","497","null","26","28","null","null","17","19","null","null","9","19","null","null",
"1500000US360050044004","Block Group 4, Census Tract 44, Bronx County, New York","1083","297","null","null","74","128","null","null","361","241","null","null","0","12","null","null","0","12","null","null","0","12","null","null","648","null","290","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050046001","Block Group 1, Census Tract 46, Bronx County, New York","1854","370","null","null","597","167","null","null","596","155","null","null","0","12","null","null","0","12","null","null","0","12","null","null","315","null","135","null","346","302","null","null","346","302","null","null","0","12","null","null",
"1500000US360050048001","Block Group 1, Census Tract 48, Bronx County, New York","2003","534","null","null","222","143","null","null","512","392","null","null","93","117","null","null","0","12","null","null","0","12","null","null","1012","null","358","null","164","191","null","null","56","54","null","null","108","169","null","null",
"1500000US360050048002","Block Group 2, Census Tract 48, Bronx County, New York","2754","573","null","null","176","151","null","null","426","288","null","null","21","39","null","null","145","147","null","null","0","12","null","null","1622","null","447","null","364","258","null","null","298","236","null","null","66","115","null","null",
"1500000US360050050011","Block Group 1, Census Tract 50.01, Bronx County, New York","885","393","null","null","85","76","null","null","301","290","null","null","0","12","null","null","113","92","null","null","0","12","null","null","386","null","247","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050050012","Block Group 2, Census Tract 50.01, Bronx County, New York","1528","380","null","null","48","58","null","null","282","161","null","null","0","12","null","null","0","12","null","null","0","12","null","null","1149","null","375","null","49","64","null","null","49","64","null","null","0","12","null","null",
"1500000US360050050013","Block Group 3, Census Tract 50.01, Bronx County, New York","861","291","null","null","65","57","null","null","189","114","null","null","97","145","null","null","0","12","null","null","0","12","null","null","476","null","160","null","34","36","null","null","9","21","null","null","25","30","null","null",
"1500000US360050050014","Block Group 4, Census Tract 50.01, Bronx County, New York","1191","382","null","null","45","43","null","null","503","241","null","null","16","28","null","null","0","12","null","null","0","12","null","null","605","null","331","null","22","33","null","null","0","12","null","null","22","33","null","null",
"1500000US360050050021","Block Group 1, Census Tract 50.02, Bronx County, New York","2339","617","null","null","168","147","null","null","499","304","null","null","0","12","null","null","0","12","null","null","44","80","null","null","1524","null","482","null","104","134","null","null","81","134","null","null","23","24","null","null",
"1500000US360050050022","Block Group 2, Census Tract 50.02, Bronx County, New York","965","385","null","null","105","83","null","null","370","285","null","null","0","12","null","null","0","12","null","null","0","12","null","null","472","null","298","null","18","28","null","null","0","12","null","null","18","28","null","null",
"1500000US360050050023","Block Group 3, Census Tract 50.02, Bronx County, New York","1770","840","null","null","0","12","null","null","678","692","null","null","0","12","null","null","63","96","null","null","0","12","null","null","1029","null","452","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050050024","Block Group 4, Census Tract 50.02, Bronx County, New York","1217","479","null","null","95","100","null","null","263","210","null","null","6","12","null","null","0","12","null","null","0","12","null","null","800","null","390","null","53","54","null","null","53","54","null","null","0","12","null","null",
"1500000US360050051001","Block Group 1, Census Tract 51, Bronx County, New York","342","272","null","null","0","12","null","null","190","291","null","null","0","12","null","null","0","12","null","null","0","12","null","null","152","null","130","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050051002","Block Group 2, Census Tract 51, Bronx County, New York","3545","1040","null","null","838","824","null","null","1266","575","null","null","0","12","null","null","0","12","null","null","0","12","null","null","1243","null","467","null","198","275","null","null","176","270","null","null","22","35","null","null",
"1500000US360050051003","Block Group 3, Census Tract 51, Bronx County, New York","1971","566","null","null","97","82","null","null","426","240","null","null","0","12","null","null","39","62","null","null","0","12","null","null","1384","null","617","null","25","40","null","null","25","40","null","null","0","12","null","null",
"1500000US360050052001","Block Group 1, Census Tract 52, Bronx County, New York","639","277","null","null","69","74","null","null","251","108","null","null","0","12","null","null","0","12","null","null","0","12","null","null","297","null","253","null","22","29","null","null","22","29","null","null","0","12","null","null",
"1500000US360050052002","Block Group 2, Census Tract 52, Bronx County, New York","1240","278","null","null","129","81","null","null","426","168","null","null","76","108","null","null","0","12","null","null","0","12","null","null","595","null","232","null","14","20","null","null","0","12","null","null","14","20","null","null",
"1500000US360050053001","Block Group 1, Census Tract 53, Bronx County, New York","2893","585","null","null","256","194","null","null","2041","517","null","null","0","12","null","null","0","12","null","null","0","12","null","null","492","null","335","null","104","140","null","null","0","12","null","null","104","140","null","null",
"1500000US360050053002","Block Group 2, Census Tract 53, Bronx County, New York","2249","595","null","null","223","183","null","null","982","389","null","null","147","155","null","null","0","12","null","null","0","12","null","null","809","null","372","null","88","80","null","null","18","21","null","null","70","73","null","null",
"1500000US360050054001","Block Group 1, Census Tract 54, Bronx County, New York","726","290","null","null","27","39","null","null","454","205","null","null","0","12","null","null","31","49","null","null","0","12","null","null","214","null","187","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050054002","Block Group 2, Census Tract 54, Bronx County, New York","2272","769","null","null","103","77","null","null","560","314","null","null","0","12","null","null","27","41","null","null","0","12","null","null","1339","null","607","null","243","393","null","null","243","393","null","null","0","12","null","null",
"1500000US360050054003","Block Group 3, Census Tract 54, Bronx County, New York","1330","427","null","null","107","139","null","null","165","199","null","null","301","415","null","null","53","64","null","null","0","12","null","null","654","null","383","null","50","49","null","null","31","27","null","null","19","32","null","null",
"1500000US360050054004","Block Group 4, Census Tract 54, Bronx County, New York","1026","365","null","null","21","34","null","null","336","206","null","null","0","12","null","null","43","59","null","null","0","12","null","null","527","null","306","null","99","109","null","null","22","36","null","null","77","103","null","null",
"1500000US360050056001","Block Group 1, Census Tract 56, Bronx County, New York","910","199","null","null","121","81","null","null","203","65","null","null","0","12","null","null","0","12","null","null","0","12","null","null","542","null","171","null","44","40","null","null","44","40","null","null","0","12","null","null",
"1500000US360050056002","Block Group 2, Census Tract 56, Bronx County, New York","536","161","null","null","128","101","null","null","29","35","null","null","0","12","null","null","0","12","null","null","0","12","null","null","285","null","147","null","94","83","null","null","22","34","null","null","72","75","null","null",
